"","playerid","pitcher_hand","pitch_type","spin_rate","ab_result","action_result","adj_h"
"89",4878,"R","CU",3137.0259,"\N","B",0
"90",959,"L","CU",3014.1069,"K","C",0
"91",959,"L","CU",3032.854,"O","X",0.01
"92",959,"L","CU",3088.5979,"\N","F",0
"93",4878,"R","CU",3158.5339,"\N","B",0
"94",1862,"R","KC",3062.3711,"\N","B",0
"95",959,"L","CU",3034.387,"O","X",0
"96",959,"L","CU",3006.7981,"\N","F",0
"97",959,"L","CU",3168.4741,"\N","B",0
"98",4878,"R","CU",3039.864,"\N","C",0
"99",4878,"R","CU",3079.5371,"\N","B",0
"100",476,"R","CU",3052.6011,"\N","S",0
"101",959,"L","CU",3145.167,"K","S",0
"102",959,"L","CU",3045.0229,"\N","C",0
"103",959,"L","CU",3054.05,"\N","F",0
"104",4878,"R","CU",3049.635,"\N","B",0
"105",15540,"R","CU",3004.1941,"2B","X",0.88
"106",7291,"L","CU",3082.9309,"\N","F",0
"107",4878,"R","CU",3037.7351,"\N","B",0
"108",8247,"L","CU",3000.043,"\N","F",0
"109",7291,"L","CU",3050.781,"\N","B",0
"110",1862,"R","KC",3076.6169,"O","X",0.05
"111",959,"L","CU",3054.0791,"O","X",0.64
"112",959,"L","CU",3074.9109,"O","X",0.1
"113",8247,"L","CU",3010.418,"\N","S",0
"114",959,"L","CU",3026.7151,"\N","F",0
"115",959,"L","CU",3051.543,"\N","F",0
"116",4378,"R","CU",3001.8501,"O","X",0.07
"117",8247,"L","CU",3092.1279,"1B","X",0.06
"118",8247,"L","CU",3024.8501,"K","S",0
"119",4878,"R","CU",3113.658,"\N","C",0
"120",959,"L","CU",3009.3879,"K","C",0
"121",959,"L","CU",3066.084,"\N","C",0
"122",4878,"R","CU",3026.647,"\N","B",0
"123",7291,"L","CU",3074.6069,"\N","C",0
"124",959,"L","CU",3157.575,"\N","B",0
"125",4629,"L","CU",3071.625,"\N","C",0
"126",4878,"R","CU",3128.9221,"\N","F",0
"127",959,"L","CU",3088.0149,"\N","B",0
"128",959,"L","CU",3083.554,"\N","S",0
"129",959,"L","CU",3119.467,"1B","X",0.24
"130",959,"L","CU",3048.1951,"\N","S",0
"131",8247,"L","CU",3035.8721,"\N","B",0
"132",14344,"R","CU",3019.9839,"\N","C",0
"133",4878,"R","CU",3126.9661,"O","X",0
"134",1862,"R","KC",3107.936,"K","S",0
"135",959,"L","CU",3064.845,"\N","B",0
"136",959,"L","CU",3069.062,"\N","S",0
"137",8247,"L","CU",3013.448,"O","X",0.07
"138",4878,"R","CU",3043.395,"K","S",0
"139",1862,"R","KC",3078.3301,"\N","B",0
"140",959,"L","CU",3014.644,"\N","C",0
"141",8247,"L","CU",3125.136,"\N","B",0
"142",4878,"R","CU",3035.0029,"\N","B",0
"143",959,"L","CU",3083.5691,"K","S",0
"144",4878,"R","CU",3039.1709,"O","X",0
"145",5620,"R","CU",3009.3359,"\N","B",0
"146",476,"R","CU",3017.095,"K","S",0
"147",4878,"R","CU",3140.4751,"\N","F",0
"148",959,"L","CU",3008.356,"BB","B",0
"149",4629,"L","CU",3054.1001,"\N","B",0
"150",8247,"L","CU",3170.4141,"\N","F",0
"151",5620,"R","CU",3021.761,"\N","C",0
"152",4878,"R","CU",3084.918,"\N","F",0
"153",8247,"L","CU",3006.4641,"K","S",0
"154",9627,"R","CU",3023.521,"O","X",0.25
"155",959,"L","CU",3018.9331,"\N","B",0
"156",4878,"R","CU",3225.657,"O","X",0.16
"157",7291,"L","CU",3006.979,"1B","X",0.86
"158",959,"L","CU",3004.7849,"\N","B",0
"159",8247,"L","CU",3028.5161,"\N","B",0
"160",4878,"R","CU",3214.491,"\N","F",0
"161",4878,"R","CU",3148.957,"O","X",0.1
"162",959,"L","CU",3047.1379,"\N","F",0
"163",7291,"L","CU",3159.4851,"K","S",0
"164",4878,"R","CU",3064.7681,"BB","B",0
"165",7291,"L","CU",3055.5979,"\N","B",0
"166",4878,"R","CU",3046.498,"\N","C",0
"167",959,"L","CU",3031.0701,"\N","B",0
"168",959,"L","CU",3072.0891,"\N","F",0
"169",8247,"L","CU",3046.2729,"\N","S",0
"170",4878,"R","CU",3127.79,"K","S",0
"171",959,"L","CU",3032.8149,"\N","B",0
"172",959,"L","CU",3081.312,"1B","X",0.88
"173",2730,"R","CU",3001.582,"\N","B",0
"174",8247,"L","CU",3003.272,"\N","B",0
"175",4878,"R","CU",3020.946,"\N","B",0
"176",8247,"L","CU",3034.2319,"K","S",0
"177",4878,"R","CU",3031.2209,"\N","B",0
"178",4378,"R","CU",3036.1709,"\N","S",0
"179",4878,"R","CU",3037.978,"\N","B",0
"180",4878,"R","CU",3033.502,"\N","F",0
"181",4878,"R","CU",3179.8101,"O","X",0.78
"182",10686,"L","CU",3036.489,"\N","B",0
"183",7291,"L","CU",3013.293,"\N","C",0
"184",10045,"R","CU",3217.8989,"O","X",0.16
"185",15540,"R","CU",3003.1609,"\N","S",0
"186",2730,"R","CU",3052.46,"\N","B",0
"187",4198,"R","CU",3019.782,"\N","C",0
"188",4878,"R","CU",3067.6421,"BB","B",0
"189",4878,"R","CU",3225.915,"\N","B",0
"190",8247,"L","CU",3075.835,"O","X",0
"191",7291,"L","CU",3006.8379,"K","S",0
"192",959,"L","CU",3049.8091,"K","S",0
"193",8247,"L","CU",3131.8279,"O","X",0.01
"194",4878,"R","CU",3027.6001,"K","C",0
"195",959,"L","CU",3118.437,"\N","C",0
"196",959,"L","CU",3133.4221,"\N","F",0
"197",2730,"R","CU",3002.1521,"\N","B",0
"198",9627,"R","CU",3036.5669,"HR","X",0.66
"199",4878,"R","CU",3108.8181,"1B","X",0.59
"200",10045,"R","CU",3228.7939,"\N","B",0
"201",15540,"R","CU",3095.426,"\N","F",0
"202",476,"R","CU",3053.4771,"\N","S",0
"203",3646,"R","CU",3038.9961,"\N","B",0
"204",8850,"R","CU",3018.9971,"\N","B",0
"205",8247,"L","CU",3248.3821,"\N","B",0
"206",15540,"R","CU",3083.741,"\N","B",0
"207",10045,"R","CU",3081.03,"\N","B",0
"208",476,"R","CU",3100.2241,"\N","F",0
"209",2730,"R","CU",3010.4409,"O","X",0.18
"210",959,"L","CU",3087.2451,"\N","C",0
"211",8247,"L","CU",3124.988,"K","S",0
"212",8288,"R","CU",3115.3,"\N","B",0
"213",4482,"R","CU",3056.5481,"\N","C",0
"214",4878,"R","CU",3013.0459,"\N","B",0
"215",3229,"R","CU",3030.4309,"\N","C",0
"216",7291,"L","CU",3037.6499,"\N","B",0
"217",7291,"L","CU",3029.376,"K","S",0
"218",476,"R","CU",3042.186,"\N","B",0
"219",8247,"L","CU",3108.7151,"O","X",0.01
"220",4878,"R","CU",3108.771,"K","S",0
"221",2295,"R","KC",3006.272,"\N","C",0
"222",959,"L","CU",3087.541,"\N","B",0
"223",959,"L","CU",3102.8569,"\N","B",0
"224",8247,"L","CU",3021.0569,"\N","B",0
"225",4878,"R","CU",3080.761,"\N","B",0
"226",4629,"L","CU",3077.4661,"\N","C",0
"227",8247,"L","CU",3111.1479,"K","S",0
"228",4878,"R","CU",3041.248,"K","S",0
"229",4878,"R","CU",3078.699,"O","X",0.2
"230",8247,"L","CU",3150.342,"\N","F",0
"231",4878,"R","CU",3119.843,"\N","B",0
"232",8247,"L","CU",3080.29,"\N","F",0
"233",8247,"L","CU",3033.676,"\N","B",0
"234",4878,"R","CU",3158.7991,"\N","C",0
"235",7291,"L","CU",3049.5381,"\N","B",0
"236",4878,"R","CU",3306.302,"\N","S",0
"237",14344,"R","CU",3033.5081,"O","X",0.07
"238",959,"L","CU",3104.1941,"\N","B",0
"239",8247,"L","CU",3203.5969,"K","S",0
"240",4878,"R","CU",3080.5911,"\N","B",0
"241",4878,"R","CU",3047.9409,"\N","S",0
"242",10045,"R","CU",3078.916,"\N","B",0
"243",10045,"R","CU",3158.5901,"\N","C",0
"244",4878,"R","CU",3148.9641,"\N","B",0
"245",7291,"L","CU",3112.4871,"HB","B",0
"246",4878,"R","CU",3168.175,"\N","C",0
"247",7291,"L","CU",3141.51,"\N","B",0
"248",8247,"L","CU",3056.415,"\N","B",0
"249",4878,"R","CU",3127.8721,"\N","C",0
"250",8247,"L","CU",3037.8999,"\N","B",0
"251",4878,"R","CU",3060.446,"1B","X",0.72
"252",4878,"R","CU",3101.738,"1B","X",0.56
"253",15540,"R","CU",3088.9961,"\N","S",0
"254",4878,"R","CU",3130.4109,"\N","S",0
"255",4878,"R","CU",3032.3291,"O","X",0.01
"256",10686,"L","CU",3053.5139,"\N","F",0
"257",8247,"L","CU",3005.6421,"\N","B",0
"258",3282,"R","CU",3011.7771,"O","X",0.19
"259",13586,"L","CU",3022.5491,"\N","B",0
"260",4878,"R","CU",3084.8081,"K","S",0
"261",4878,"R","CU",3237.8521,"\N","B",0
"262",959,"L","CU",3058.438,"2B","X",0.53
"263",476,"R","CU",3040.0969,"K","S",0
"264",959,"L","CU",3172.335,"BB","B",0
"265",10045,"R","CU",3205.9819,"2B","X",0.24
"266",15540,"R","CU",3178.7671,"BB","B",0
"267",8247,"L","CU",3132.542,"O","X",0.05
"268",4878,"R","CU",3111.7781,"\N","C",0
"269",15540,"R","CU",3052.001,"O","X",0.67
"270",15540,"R","CU",3065.0281,"\N","B",0
"271",4878,"R","CU",3042.0769,"\N","C",0
"272",9627,"R","CU",3040.303,"\N","B",0
"273",476,"R","CU",3102.613,"\N","F",0
